character,i,State,Counts
B,0,0010011,1
B,1,0000110,2
B,2,0011000,1
B,3,0000100,1
B,4,1100001,2
B,5,0010000,3
B,6,1111000,1
B,7,0110000,2
B,8,1101110,1
B,9,1010011,4
B,10,0100011,2
B,11,0100110,1
B,12,0001000,13
B,13,1010111,1
B,14,1110010,6
B,15,1010010,27
B,16,1000110,5
B,17,1000000,71
B,18,1001010,57
B,19,1000011,43
B,20,1001000,30
B,21,0011010,3
B,22,0101010,5
B,23,0100010,33
B,24,0010010,9
B,25,1111010,2
B,26,1100000,8
B,27,0101000,9
B,28,0001110,1
B,29,0000011,11
B,30,1001001,4
B,31,1100010,63
B,32,1101010,12
B,33,0100001,5
B,34,1101011,2
B,35,0100000,17
B,36,1100110,1
B,37,1010000,9
B,38,0001001,5
B,39,1000001,7
B,40,1011010,4
B,41,0101011,1
B,42,1100011,6
B,43,0000000,55
B,44,1101000,3
B,45,0000010,77
B,46,0001010,17
B,47,1000010,367
B,48,0000001,7
B,49,1110011,2
B,50,1001011,5
