character,i,State,Counts
C,0,1100111,1
C,1,0000111,1
C,2,0011001,1
C,3,0010001,3
C,4,0010000,3
C,5,1011010,2
C,6,0011011,1
C,7,0100100,1
C,8,1000110,2
C,9,0101010,4
C,10,0101000,8
C,11,1011001,4
C,12,1101010,6
C,13,1011011,8
C,14,1001011,60
C,15,0110010,1
C,16,1100000,12
C,17,0001001,12
C,18,1000001,67
C,19,1000000,40
C,20,1001010,26
C,21,1010010,5
C,22,1100010,12
C,23,1001001,29
C,24,0000011,67
C,25,0010011,3
C,26,0110001,1
C,27,1001000,18
C,28,1011000,3
C,29,1000011,226
C,30,1001101,1
C,31,0101001,6
C,32,1000010,71
C,33,0000001,23
C,34,1010001,7
C,35,0001010,11
C,36,0000010,29
C,37,0100010,8
C,38,1100001,9
C,39,0001000,12
C,40,1101001,4
C,41,1101000,3
C,42,1100011,49
C,43,0101011,5
C,44,0000000,48
C,45,0001011,16
C,46,1101011,13
C,47,0100000,16
C,48,0100011,40
C,49,1010011,16
C,50,1010000,1
C,51,0100001,7
C,52,1110011,2
