character,i,State,Counts
D,0,1101100,1
D,1,0100000,1
D,2,1100101,2
D,3,0100100,2
D,4,1000111,7
D,5,0100101,1
D,6,1000110,45
D,7,1100000,1
D,8,1010100,22
D,9,0000101,5
D,10,1000101,50
D,11,0010001,1
D,12,0000100,104
D,13,1001101,6
D,14,0100110,1
D,15,1001110,2
D,16,0000011,1
D,17,0000000,49
D,18,1001000,13
D,19,1000000,94
D,20,1001010,4
D,21,1001100,47
D,22,0000110,14
D,23,1010000,4
D,24,0010101,1
D,25,1010111,1
D,26,0001000,3
D,27,0000001,6
D,28,1000010,3
D,29,1000001,15
D,30,0000010,4
D,31,1010101,1
D,32,1010110,2
D,33,0010100,5
D,34,1100100,16
D,35,1011100,3
D,36,0001110,1
D,37,0001100,12
D,38,1000100,467
D,39,0010000,4
D,40,1110100,2
D,41,0000111,1
